Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_4_N_32_ES_1_SIZE_256_APP,256,59.8889,52.2198,14.747,14.7867,166.111,139.818,163.515,138.577,APP,"T:4 (32,1)"
TERMS_4_N_32_ES_1_SIZE_256_NAPP,256,80.929,61.7012,17.1564,17.1588,74.2438,139.916,163.861,139.083,NAPP,"T:4 (32,1)"
TERMS_4_N_32_ES_1_SIZE_64_APP,64,104.161,86.6896,19.3982,19.4442,165.584,139.772,163.959,138.623,APP,"T:4 (32,1)"
TERMS_4_N_32_ES_1_SIZE_64_NAPP,64,104.747,87.3886,28.8715,28.8684,73.335,139.498,164.185,139.573,NAPP,"T:4 (32,1)"
TERMS_4_N_32_ES_2_SIZE_128_APP,128,87.7645,59.6294,17.1934,17.2179,160.269,139.874,157.019,138.778,APP,"T:4 (32,2)"
TERMS_4_N_32_ES_2_SIZE_128_NAPP,128,88.4071,72.7325,22.7585,22.7578,160.351,139.782,157.574,139.592,NAPP,"T:4 (32,2)"
TERMS_4_N_32_ES_2_SIZE_256_APP,256,58.2057,52.2198,14.7455,14.7867,160.44,139.818,157.121,138.577,APP,"T:4 (32,2)"
TERMS_4_N_32_ES_2_SIZE_256_NAPP,256,74.3795,61.7012,17.1542,17.1588,160.219,139.916,157.64,139.083,NAPP,"T:4 (32,2)"
TERMS_4_N_32_ES_2_SIZE_64_APP,64,99.1353,86.6896,19.3981,19.4442,159.593,139.772,158.308,138.623,APP,"T:4 (32,2)"
TERMS_4_N_32_ES_2_SIZE_64_NAPP,64,99.7547,87.3886,28.8672,28.8684,159.816,139.498,159.04,139.573,NAPP,"T:4 (32,2)"
